編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUWMLSLPHPFFAB37DA,42,111.83,住商用,鋼筋混凝土造,67年3月3日,二層,一層 二層 騎樓
RPSPMLNJQHPFFAB48DA,1,59.83,見其他登記事項,鋼筋混凝土造,108年10月28日,十五層,九層
RPSPMLNJQHPFFAB48DA,1,63.34,見其他登記事項,鋼筋混凝土造,108年10月28日,十五層,
RPQPMLRKQHPFFAB78DA,47,150.75,住家用,加強磚造,62年7月5日,二層,一層 二層
RPVNMLMKQHPFFAB58DA,27,26.73,住家用,鋼筋混凝土造,82年3月12日,七層,四層
RPVNMLMKQHPFFAB58DA,27,26.73,住家用,鋼筋混凝土造,82年3月12日,七層,四層
RPVNMLMKQHPFFAB58DA,27,8.71,共有部份,鋼筋混凝土造,82年3月12日,七層,
RPVNMLMKQHPFFAB58DA,27,8.71,共有部份,鋼筋混凝土造,82年3月12日,七層,
RPRPMLNKQHPFFAB48DA,24,38.43,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,十三層
RPRPMLNKQHPFFAB48DA,24,6.60,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPRPMLNKQHPFFAB48DA,24,7.43,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPRPMLNKQHPFFAB48DA,24,1.78,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPRPMLNKQHPFFAB48DA,24,2.63,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPSPMLTLPHPFFAB56DA,26,94.03,住商用,鋼筋混凝土造,83年12月28日,十五層,一層 二層 騎樓
RPSPMLTLPHPFFAB56DA,26,39.66,共有部份,鋼筋混凝土造,83年12月28日,十五層,
RPSPMLTLPHPFFAB56DA,26,8.48,共有部份,鋼筋混凝土造,83年12月28日,十五層,
RPWNMLNKQHPFFAB78DA,44,108.88,住家用,加強磚造,65年8月2日,二層,一層 二層
RPQNMLSKQHPFFAB68DA,26,19.78,住家用,鋼筋混凝土造,83年6月6日,八層,三層
RPQNMLSKQHPFFAB68DA,26,33.27,見其他登記事項,鋼筋混凝土造,83年6月6日,八層,
RPSNMLTJQHPFFAB88DA,15,69.60,見其他登記事項,鋼筋混凝土造,94年12月23日,二十七層,十六層 十七層
RPSNMLTJQHPFFAB88DA,15,32.88,見其他登記事項,鋼筋混凝土造,94年12月23日,二十七層,
RPVNMLSKQHPFFAB56DA,24,87.37,見其他登記事項,鋼筋混凝土造,85年10月5日,十八層,七層
RPVNMLSKQHPFFAB56DA,24,14.31,見其他登記事項,鋼筋混凝土造,85年10月5日,十八層,
RPVNMLSKQHPFFAB56DA,24,.54,見其他登記事項,鋼筋混凝土造,85年10月5日,十八層,
RPVNMLSKQHPFFAB56DA,24,18.92,見其他登記事項,鋼筋混凝土造,85年10月5日,十八層,
RPVNMLSKQHPFFAB56DA,24,13.43,見其他登記事項,鋼筋混凝土造,85年10月5日,十八層,地下二層
RPOOMLSKQHPFFAB58DA,27,47.63,住家用,鋼筋混凝土造,82年11月24日,八層,四層
RPOOMLSKQHPFFAB58DA,27,33.87,見其他登記事項,鋼筋混凝土造,82年11月24日,八層,
RPPOMLSKQHPFFAB68DA,36,6.26,共有部份,鋼筋混凝土造,73年10月30日,五層,
RPPOMLSKQHPFFAB68DA,36,92.44,住家用,鋼筋混凝土造,73年10月30日,五層,五層
RPWNMLSKQHPFFAB66DA,37,100.23,見其他登記事項,鋼筋混凝土造,72年11月29日,五層,四層
RPXSMLPKPHPFFBB96DA,25,31.85,住家用,鋼筋混凝土造,84年6月14日,八層,三層
RPXSMLPKPHPFFBB96DA,25,25.40,共有部份,鋼筋混凝土造,84年6月14日,八層,
RPUPMLSKQHPFFAB66DA,40,179.39,住商用,鋼筋混凝土造,69年12月23日,五層,一層 二層 騎樓 夾層 地下層
RPVPMLTKQHPFFAB86DA,25,122.13,見其他登記事項,鋼筋混凝土造,84年9月2日,十二層,十層
RPVPMLTKQHPFFAB86DA,25,44.41,見其他登記事項,鋼筋混凝土造,84年9月2日,十二層,
RPTOMLSKQHPFFAB09DA,,46.42,住商用,鋼筋混凝土造,,四層,一層 二層
RPRPMLTKQHPFFAB09DA,26,92.12,住家用,鋼筋混凝土造,83年11月18日,十七層,二層
RPRPMLTKQHPFFAB09DA,26,21.23,共有部份,鋼筋混凝土造,83年11月18日,十七層,
RPSPMLTKQHPFFAB56DA,50,85.20,見其他登記事項,加強磚造,58年12月26日,二層,一層 二層
RPWNMLSLPHPFFBB76DA,10,87.65,住家用,鋼筋混凝土造,99年6月3日,十五層,二層
RPWNMLSLPHPFFBB76DA,10,64.24,見其他登記事項,鋼筋混凝土造,99年6月3日,十五層,
RPQVMLMLPHPFFBB98DA,26,48.62,住家用,鋼筋混凝土造,83年2月8日,十三層,六層
RPQVMLMLPHPFFBB98DA,26,16.88,共有部份,鋼筋混凝土造,83年2月8日,十三層,
RPWNMLPJQHPFFBB98DA,5,91.10,見其他登記事項,鋼筋混凝土造,104年11月23日,十五層,七層
RPWNMLPJQHPFFBB98DA,5,45.32,見其他登記事項,鋼筋混凝土造,104年11月23日,十五層,
RPWNMLPJQHPFFBB98DA,5,23.77,見其他登記事項,鋼筋混凝土造,104年11月23日,十五層,
RPTTMLRLPHPFFBB96DA,7,63.45,住家用,鋼筋混凝土造,102年7月25日,二十二層,二十層
RPTTMLRLPHPFFBB96DA,7,17.07,見其他登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPTTMLRLPHPFFBB96DA,7,13.62,見其他登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPPTMLRJQHPFFBB09DA,,34.46,住家用,磚造,,一層,一層
RPXOMLPJQHPFFBB56DA,,209.53,見其他登記事項,鋼筋混凝土造,107年5月4日,四層,一層 二層 三層 四層 見其他登記事項
RPSRNLLKQHPFFBB78DA,3,75.59,見其他登記事項,鋼筋混凝土造,106年12月8日,十二層,三層
RPSRNLLKQHPFFBB78DA,3,69.95,見其他登記事項,鋼筋混凝土造,106年12月8日,十二層,
RPSUNLLKQHPFFBB09DA,5,102.36,見其他登記事項,鋼筋混凝土造,104年8月5日,十三層,五層
RPSUNLLKQHPFFBB09DA,5,30.29,見其他登記事項,鋼筋混凝土造,104年8月5日,十三層,
RPSUNLLKQHPFFBB09DA,5,49.61,見其他登記事項,鋼筋混凝土造,104年8月5日,十三層,
RPOQMLMKQHPFFBB28DA,,118.65,見其他登記事項,鋼筋混凝土造,106年9月28日,十五層,十四層
RPOQMLMKQHPFFBB28DA,,85.29,見其他登記事項,鋼筋混凝土造,106年9月28日,十五層,
RPXQMLKMPHPFFBB09DA,21,45.44,住家用,鋼筋混凝土造,88年9月2日,十四層,十四層
RPXQMLKMPHPFFBB09DA,21,45.44,住家用,鋼筋混凝土造,88年9月2日,十四層,十四層
RPXQMLKMPHPFFBB09DA,21,6.39,共有部份,鋼筋混凝土造,88年9月2日,十四層,
RPXQMLKMPHPFFBB09DA,21,6.39,共有部份,鋼筋混凝土造,88年9月2日,十四層,
RPXQMLKMPHPFFBB09DA,21,.00,共有部份,鋼筋混凝土造,88年9月2日,十四層,
RPXQMLKMPHPFFBB09DA,21,.00,共有部份,鋼筋混凝土造,88年9月2日,十四層,
RPXQMLKMPHPFFBB09DA,21,9.29,共有部份,鋼筋混凝土造,88年9月2日,十四層,
RPXQMLKMPHPFFBB09DA,21,9.29,共有部份,鋼筋混凝土造,88年9月2日,十四層,
RPWPMLNKQHPFFBB09DA,21,64.26,見其他登記事項,鋼筋混凝土造,88年8月16日,十四層,二層
RPWPMLNKQHPFFBB09DA,21,70.44,見其他登記事項,鋼筋混凝土造,88年8月16日,十四層,五層
RPWPMLNKQHPFFBB09DA,21,57.64,共有部份,鋼筋混凝土造,88年8月16日,十四層,
RPWPMLNKQHPFFBB09DA,21,62.59,共有部份,鋼筋混凝土造,88年8月16日,十四層,
RPXQMLNKQHPFFBB66DA,3,65.32,見其他登記事項,鋼筋混凝土造,106年4月20日,二十八層,十層
RPXQMLNKQHPFFBB66DA,3,22.92,見其他登記事項,鋼筋混凝土造,106年4月20日,二十八層,
RPXQMLNKQHPFFBB66DA,3,50.07,見其他登記事項,鋼筋混凝土造,106年4月20日,二十八層,
RPPQMLNKQHPFFBB48DA,4,144.57,見其他登記事項,鋼筋混凝土造,105年7月17日,二十八層,二十二層
RPPQMLNKQHPFFBB48DA,4,96.26,見其他登記事項,鋼筋混凝土造,105年7月17日,二十八層,
RPTQMLNKQHPFFBB88DA,,82.47,住家用,鋼筋混凝土造,102年6月9日,十二層,十二層
RPTQMLNKQHPFFBB88DA,,75.06,見其他登記事項,鋼筋混凝土造,102年6月9日,十二層,
RPTQMLRKQHPFFBB66DA,27,1.40,住家用,鋼筋混凝土造,82年11月30日,十五層,地下層
RPTQMLRKQHPFFBB66DA,27,101.66,住家用,鋼筋混凝土造,82年11月30日,十五層,四層
RPTQMLRKQHPFFBB66DA,27,14.29,共有部份,鋼筋混凝土造,82年11月30日,十五層,
RPTQMLRKQHPFFBB66DA,27,8.60,共有部份,鋼筋混凝土造,82年11月30日,十五層,
RPRNMLQKQHPFFBB68DA,25,.60,商業用,鋼筋混凝土造,84年5月19日,十二層,地下二層
RPRNMLQKQHPFFBB68DA,25,26.67,住家用,鋼筋混凝土造,84年5月19日,十二層,十層
RPRNMLQKQHPFFBB68DA,25,.00,共有部份,鋼筋混凝土造,84年5月19日,十二層,
RPRNMLQKQHPFFBB68DA,25,9.38,共有部份,鋼筋混凝土造,84年5月19日,十二層,
RPRNMLQKQHPFFBB68DA,25,13.91,共有部份,鋼筋混凝土造,84年5月19日,十二層,
RPRNMLQKQHPFFBB68DA,25,2.04,共有部份,鋼筋混凝土造,84年5月19日,十二層,
RPPSMLRKQHPFFBB09DA,3,81.65,見其他登記事項,鋼筋混凝土造,106年12月25日,十一層,十一層
RPPSMLRKQHPFFBB09DA,3,108.74,見其他登記事項,鋼筋混凝土造,106年12月25日,十一層,
RPQRMLRKQHPFFBB09DA,36,30.89,住家用,鋼筋混凝土造,73年8月30日,七層,五層
RPQRMLRKQHPFFBB09DA,36,4.10,共有部份,鋼筋混凝土造,73年8月30日,七層,
RPTOMLSKQHPFFBB56DA,28,75.45,住家用,鋼筋混凝土造,81年3月21日,五層,三層
RPTOMLSKQHPFFBB56DA,28,17.58,共有部份,鋼筋混凝土造,81年3月21日,五層,
RPOSMLRKQHPFFBB98DA,2,88.43,見其他登記事項,鋼筋混凝土造,107年8月1日,二十三層,十三層
RPOSMLRKQHPFFBB98DA,2,48.40,見其他登記事項,鋼筋混凝土造,107年8月1日,二十三層,
RPOSMLRKQHPFFBB98DA,2,32.54,見其他登記事項,鋼筋混凝土造,107年8月1日,二十三層,
RPUOMLSKQHPFFBB66DA,15,79.44,住家用,見其他登記事項,94年2月1日,十五層,十層
RPUOMLSKQHPFFBB66DA,15,57.04,共有部份,見其他登記事項,94年2月1日,十五層,
RPUSMLSKQHPFFBB07DA,41,60.80,住家用,鋼筋混凝土造,68年11月14日,五層,二層
RPXOMLSKQHPFFBB96DA,13,47.03,住家用,鋼筋混凝土造,96年12月31日,十四層,九層
RPXOMLSKQHPFFBB96DA,13,35.46,共有部份,鋼筋混凝土造,96年12月31日,十四層,
RPPNMLTKQHPFFBB78DA,42,63.40,住家用,鋼筋混凝土造,68年1月9日,八層,七層
RPUQMLSKQHPFFBB86DA,16,54.58,見其他登記事項,見其他登記事項,93年3月25日,九層,九層
RPUQMLSKQHPFFBB86DA,16,22.53,共有部份,見其他登記事項,93年3月25日,九層,
RPTNMLTKQHPFFBB56DA,24,140.19,住家用,鋼筋混凝土造,85年8月12日,二十二層,四層
RPTNMLTKQHPFFBB56DA,24,24.98,共有部份,鋼筋混凝土造,85年8月12日,二十二層,
RPTNMLTKQHPFFBB56DA,24,2.07,共有部份,鋼筋混凝土造,85年8月12日,二十二層,
RPTNMLTKQHPFFBB56DA,24,1.49,共有部份,鋼筋混凝土造,85年8月12日,二十二層,
RPTNMLTKQHPFFBB56DA,24,12.63,共有部份,鋼筋混凝土造,85年8月12日,二十二層,
RPROMLTKQHPFFBB09DA,26,28.74,住家用,鋼筋混凝土造,83年6月28日,十一層,十一層
RPROMLTKQHPFFBB09DA,26,9.21,共有部份,鋼筋混凝土造,83年6月28日,十一層,
RPXOMLTKQHPFFBB07DA,4,102.02,見其他登記事項,鋼筋混凝土造,105年6月2日,十四層,十層
RPXOMLTKQHPFFBB07DA,4,47.27,見其他登記事項,鋼筋混凝土造,105年6月2日,十四層,
RPXOMLTKQHPFFBB07DA,4,25.35,見其他登記事項,鋼筋混凝土造,105年6月2日,十四層,
RPWQMLTKQHPFFBB17DA,46,101.86,住家用,鋼筋混凝土加強磚造,63年11月27日,二層,一層 二層 騎樓
RPWPMLTKQHPFFBB07DA,42,109.62,住商用,加強磚造,67年9月27日,二層,一層 二層 騎樓
RPQPMLTKQHPFFBB09DA,30,118.80,住商用,加強磚造,79年9月8日,二層,一層 二層 騎樓
RPTPMLTKQHPFFBB76DA,26,28.20,住家用,鋼筋混凝土造,83年5月12日,十二層,六層
RPTPMLTKQHPFFBB76DA,26,4.86,共有部份,鋼筋混凝土造,83年5月12日,十二層,
RPTPMLTKQHPFFBB76DA,26,2.52,共有部份,鋼筋混凝土造,83年5月12日,十二層,
RPSQMLTKQHPFFBB76DA,5,81.59,見其他登記事項,鋼筋混凝土造,104年4月23日,二十二層,十五層
RPSQMLTKQHPFFBB76DA,5,43.66,見其他登記事項,鋼筋混凝土造,104年4月23日,二十二層,
RPSQMLTKQHPFFBB76DA,5,19.35,見其他登記事項,鋼筋混凝土造,104年4月23日,二十二層,
RPSROLKLPHPFFCB88DA,24,167.33,住家用,鋼筋混凝土造,85年2月5日,五層,一層 二層 三層 四層 五層
RPSROLKLPHPFFCB88DA,24,38.09,共有部份,鋼筋混凝土造,85年2月5日,五層,
RPTTMLMLPHPFFCB56DA,11,214.50,住家用,鋼骨鋼筋混凝土造,98年11月13日,二十二層,十九層
RPTTMLMLPHPFFCB56DA,11,163.05,見其他登記事項,鋼骨鋼筋混凝土造,98年11月13日,二十二層,
RPSQMLLMPHPFFCB78DA,37,12.49,見其他登記事項,鋼筋混凝土造,72年5月11日,五層,
RPSQMLLMPHPFFCB78DA,37,105.19,住家用,鋼筋混凝土造,72年5月11日,五層,五層
RPPQMLNLPHPFFCB58DA,7,1.77,見其他登記事項,鋼筋混凝土造,102年6月3日,二十四層,二層
RPPQMLNLPHPFFCB58DA,7,2.30,見其他登記事項,鋼筋混凝土造,102年6月3日,二十四層,二層
RPPQMLNLPHPFFCB58DA,7,141.82,住家用,鋼筋混凝土造,102年6月3日,二十四層,十三層
RPPQMLNLPHPFFCB58DA,7,.00,見其他登記事項,鋼筋混凝土造,102年6月3日,二十四層,
RPPQMLNLPHPFFCB58DA,7,.00,見其他登記事項,鋼筋混凝土造,102年6月3日,二十四層,
RPPQMLNLPHPFFCB58DA,7,66.92,見其他登記事項,鋼筋混凝土造,102年6月3日,二十四層,
RPPQMLNLPHPFFCB58DA,7,36.47,見其他登記事項,鋼筋混凝土造,102年6月3日,二十四層,
RPTNNLQJQHPFFCB98DA,36,88.83,住家用,鋼筋混凝土造,73年10月4日,五層,五層
RPROMLOJQHPFFCB58DA,11,114.94,住家用,鋼筋混凝土造,98年3月30日,十五層,四層
RPROMLOJQHPFFCB58DA,11,35.08,見其他登記事項,鋼筋混凝土造,98年3月30日,十五層,
RPROMLOJQHPFFCB58DA,11,42.85,見其他登記事項,鋼筋混凝土造,98年3月30日,十五層,
RPPONLTJQHPFFCB98DA,29,112.17,住家用,鋼筋混凝土造,81年1月15日,十一層,五層
RPPONLTJQHPFFCB98DA,29,31.22,共有部份,鋼筋混凝土造,81年1月15日,十一層,
RPTVMLPJQHPFFCB96DA,24,68.33,住家用,鋼筋混凝土造,85年12月30日,五層,五層
RPTVMLPJQHPFFCB96DA,24,12.44,共有部份,鋼筋混凝土造,85年12月30日,五層,
RPTVMLPJQHPFFCB96DA,24,5.54,共有部份,鋼筋混凝土造,85年12月30日,五層,
RPRUMLKKQHPFFCB88DA,30,196.47,住家用,鋼筋混凝土造,79年7月20日,四層,一層 二層 三層 四層
RPRUMLKKQHPFFCB88DA,30,68.22,住家用,鋼筋混凝土造,79年7月20日,四層,地下層
SPXPMLOKQHPFFCB86DA,27,24.38,商業用,鋼筋混凝土造,82年5月31日,九層,四層
SPXPMLOKQHPFFCB86DA,27,11.32,共有部份,鋼筋混凝土造,82年5月31日,九層,
RPXPMLOKQHPFFCB76DA,27,22.23,商業用,鋼筋混凝土造,82年5月31日,九層,四層
RPXPMLOKQHPFFCB76DA,27,11.32,共有部份,鋼筋混凝土造,82年5月31日,九層,
RPVSMLKKQHPFFCB09DA,24,.11,見其他登記事項,鋼筋混凝土造,85年9月23日,十二層,一層
RPVSMLKKQHPFFCB09DA,24,105.76,見其他登記事項,鋼筋混凝土造,85年9月23日,十二層,一層
RPVSMLKKQHPFFCB09DA,24,.06,共有部份,鋼筋混凝土造,85年9月23日,十二層,
RPVSMLKKQHPFFCB09DA,24,48.90,共有部份,鋼筋混凝土造,85年9月23日,十二層,
RPSRMLOKQHPFFCB09DA,24,95.85,住家用,鋼筋混凝土造,85年11月23日,七層,七層
RPSRMLOKQHPFFCB09DA,24,45.38,共有部份,鋼筋混凝土造,85年11月23日,七層,
RPQSMLOKQHPFFCB98DA,27,112.08,住家用,鋼筋混凝土造,82年11月19日,十四層,八層
RPQSMLOKQHPFFCB98DA,27,33.29,共有部份,鋼筋混凝土造,82年11月19日,十四層,
RPVNMLSKQHPFFCB76DA,,86.06,見其他登記事項,鋼筋混凝土造,109年3月22日,十五層,二層
RPVNMLSKQHPFFCB76DA,,78.55,見其他登記事項,鋼筋混凝土造,109年3月22日,十五層,
RPRQMLRKQHPFFCB56DA,11,54.78,住家用,鋼筋混凝土造,99年1月20日,十五層,十一層
RPRQMLRKQHPFFCB56DA,11,54.78,住家用,鋼筋混凝土造,99年1月20日,十五層,十一層
RPRQMLRKQHPFFCB56DA,11,37.54,見其他登記事項,鋼筋混凝土造,99年1月20日,十五層,
RPRQMLRKQHPFFCB56DA,11,37.54,見其他登記事項,鋼筋混凝土造,99年1月20日,十五層,
RPUNMLSKQHPFFCB66DA,27,15.48,住家用,鋼筋混凝土造,82年6月16日,六層,三層
RPUNMLSKQHPFFCB66DA,27,8.36,共有部份,鋼筋混凝土造,82年6月16日,六層,
RPQOMLSKQHPFFCB98DA,26,23.53,住家用,鋼筋混凝土造,83年4月6日,十六層,十六層
RPQOMLSKQHPFFCB98DA,26,23.53,住家用,鋼筋混凝土造,83年4月6日,十六層,十六層
RPQOMLSKQHPFFCB98DA,26,23.53,住家用,鋼筋混凝土造,83年4月6日,十六層,十六層
RPQOMLSKQHPFFCB98DA,26,3.75,共有部份,鋼筋混凝土造,83年4月6日,十六層,
RPQOMLSKQHPFFCB98DA,26,3.75,共有部份,鋼筋混凝土造,83年4月6日,十六層,
RPQOMLSKQHPFFCB98DA,26,3.75,共有部份,鋼筋混凝土造,83年4月6日,十六層,
RPPPMLSKQHPFFCB98DA,5,392.59,見其他登記事項,鋼骨鋼筋混凝土造,104年10月30日,三十層,二十四層
RPPPMLSKQHPFFCB98DA,5,140.39,見其他登記事項,鋼骨鋼筋混凝土造,104年10月30日,三十層,
RPPPMLSKQHPFFCB98DA,5,199.91,見其他登記事項,鋼骨鋼筋混凝土造,104年10月30日,三十層,
RPOPMLRKQHPFFCB78DA,6,188.39,住家用,鋼骨鋼筋混凝土造,103年1月24日,二十九層,二十七層
RPOPMLRKQHPFFCB78DA,6,43.79,見其他登記事項,鋼骨鋼筋混凝土造,103年1月24日,二十九層,
RPOPMLRKQHPFFCB78DA,6,95.43,見其他登記事項,鋼骨鋼筋混凝土造,103年1月24日,二十九層,
RPSRMLSKQHPFFCB86DA,26,85.07,住家用,鋼筋混凝土造,83年5月23日,十二層,十二層
RPSRMLSKQHPFFCB86DA,26,20.34,共有部份,鋼筋混凝土造,83年5月23日,十二層,
RPUTMLSKQHPFFCB27DA,25,16.55,住家用,鋼筋混凝土造,84年2月20日,十三層,六層
RPUTMLSKQHPFFCB27DA,25,3.93,共有部份,鋼筋混凝土造,84年2月20日,十三層,
RPUTMLSKQHPFFCB27DA,25,3.00,見其他登記事項,鋼筋混凝土造,84年2月20日,十三層,
RPPRMLSKQHPFFCB56DA,26,124.35,住家用,鋼筋混凝土造,83年5月26日,二十三層,十層
RPPRMLSKQHPFFCB56DA,26,35.65,共有部份,鋼筋混凝土造,83年6月11日,二十三層,
RPROMLTKQHPFFCB56DA,48,90.46,住家用,見其他登記事項,61年5月10日,二層,一層 二層
RPTSMLOKQHPFFCB66DA,23,170.90,住家用,鋼筋混凝土造,86年11月4日,四層,一層 二層 三層 四層
RPTSMLOKQHPFFCB66DA,23,36.84,共有部份,鋼筋混凝土造,86年11月4日,五層,
RPWTMLSKQHPFFCB47DA,31,16.64,住家用,鋼筋混凝土造,78年2月24日,五層,二層
RPWTMLSKQHPFFCB47DA,31,21.32,住家用,鋼筋混凝土造,78年2月24日,五層,二層
RPWTMLSKQHPFFCB47DA,31,21.45,住家用,鋼筋混凝土造,78年2月24日,五層,二層
RPWTMLSKQHPFFCB47DA,31,21.45,住家用,鋼筋混凝土造,78年2月24日,五層,二層
RPWTMLSKQHPFFCB47DA,31,9.11,共有部份,鋼筋混凝土造,78年2月24日,五層,
RPWTMLSKQHPFFCB47DA,31,9.11,共有部份,鋼筋混凝土造,78年2月24日,五層,
RPWTMLSKQHPFFCB47DA,31,9.11,共有部份,鋼筋混凝土造,78年2月24日,五層,
RPWTMLSKQHPFFCB47DA,31,9.11,共有部份,鋼筋混凝土造,78年2月24日,五層,
RPWPMLTKQHPFFCB17DA,4,321.83,見其他登記事項,鋼筋混凝土造,105年2月1日,五層,一層 二層 三層 四層 五層 地下一層 見其他登記事項
RPWPMLTKQHPFFCB17DA,4,126.53,見其他登記事項,鋼筋混凝土造,105年2月1日,五層,
RPRUMLTKQHPFFCB17DA,27,69.69,共有部份,鋼筋混凝土造,82年10月21日,十一層,
RPRUMLTKQHPFFCB17DA,27,408.63,商業用,鋼筋混凝土造,82年10月21日,十一層,八層
RPSOMLTKQHPFFCB66DA,1,54.36,見其他登記事項,鋼筋混凝土造,108年11月14日,十二層,九層
RPSOMLTKQHPFFCB66DA,1,62.19,見其他登記事項,鋼筋混凝土造,108年11月14日,十二層,
RPPRMLTKQHPFFCB66DA,26,14.08,住家用,鋼筋混凝土造,83年9月30日,十二層,十二層
RPPRMLTKQHPFFCB66DA,26,7.07,共有部份,鋼筋混凝土造,83年9月30日,十二層,
RPWUMLTKQHPFFCB67DA,9,130.17,住家用,鋼筋混凝土造,100年8月22日,十二層,七層
RPWUMLTKQHPFFCB67DA,9,102.42,見其他登記事項,鋼筋混凝土造,100年8月22日,十二層,
RPWUMLTKQHPFFCB67DA,9,26.52,見其他登記事項,鋼筋混凝土造,100年8月22日,十二層,
RPXOMLNKQHPFFDB66DA,27,73.68,住家用,鋼筋混凝土造,82年5月19日,六層,五層
RPXOMLNKQHPFFDB66DA,27,32.09,共有部份,鋼筋混凝土造,82年5月19日,六層,
RPQNMLRKQHPFFDB88DA,23,114.81,住商用,鋼筋混凝土造,86年10月16日,七層,一層 二層 騎樓
RPQNMLRKQHPFFDB88DA,23,17.22,停車空間,鋼筋混凝土造,86年10月16日,七層,
RPQNMLRKQHPFFDB88DA,23,19.41,共有部份,鋼筋混凝土造,86年10月16日,七層,
RPPPMLMKQHPFFDB48DA,1,187.66,見其他登記事項,鋼筋混凝土造,108年8月6日,三層,一層 二層 三層 騎樓 見其他登記事項
RPTNMLSKQHPFFDB66DA,28,8.26,共有部份,鋼筋混凝土造,81年2月8日,十六層,
RPTNMLSKQHPFFDB66DA,28,8.73,共有部份,鋼筋混凝土造,81年2月8日,十六層,
RPTNMLSKQHPFFDB66DA,27,.41,見其他登記事項,鋼筋混凝土造,82年2月8日,十六層,地下層
RPTNMLSKQHPFFDB66DA,27,11.06,共有部份,鋼筋混凝土造,82年2月8日,十六層,
RPTNMLSKQHPFFDB66DA,27,78.14,見其他登記事項,鋼筋混凝土造,82年2月8日,十六層,十二層
RPVNMLNLPHPFFFB56DA,,147.89,見其他登記事項,鋼筋混凝土造,109年3月12日,四層,一層 二層 三層 四層
RPVNMLNLPHPFFFB56DA,,.14,見其他登記事項,鋼筋混凝土造,109年3月12日,一層,
RPRNMLSKQHPFFGB76DA,39,103.74,住家用,加強磚造,70年1月28日,二層,一層 二層 騎樓
RPSOMLSLPHPFFHB07DA,34,150.58,住家用,見其他登記事項,75年12月4日,三層,一層 二層 三層 見其他登記事項
RPXOMLSLPHPFFHB57DA,8,.68,見其他登記事項,鋼筋混凝土造,101年4月25日,一層,一層
RPXOMLSLPHPFFHB57DA,8,178.20,見其他登記事項,鋼筋混凝土造,101年5月28日,三層,一層 二層 三層 見其他登記事項
RPRNMLRKQHPFFHB76DA,38,94.91,住商用,加強磚造,71年4月30日,二層,一層 二層 騎樓 見其他登記事項
RPOOMLSKQHPFFHB66DA,41,113.27,住商用,加強磚造,68年11月2日,二層,一層 二層 騎樓 見其他登記事項
RPXNMLNKQHPFFHB96DA,19,173.35,見其他登記事項,鋼筋混凝土造,90年11月1日,三層,一層 二層 三層 見其他登記事項
RPQOMLSKQHPFFHB86DA,24,86.15,住家用,鋼筋混凝土造,84年10月4日,七層,七層
RPQOMLSKQHPFFHB86DA,24,31.39,共有部份,鋼筋混凝土造,84年10月4日,七層,
RPOOMLMLPHPFFIB78DA,18,123.58,住家用,鋼筋混凝土造,91年1月15日,四層,一層 二層 三層 四層
RPOOMLMLPHPFFIB78DA,18,123.58,住家用,鋼筋混凝土造,91年1月15日,四層,一層 二層 三層 四層
RPWUMLOJQHPFFIB67DA,41,81.47,住家用,鋼筋混凝土造,68年9月1日,四層,二層
RPWUMLOJQHPFFIB67DA,41,9.53,共有部份,鋼筋混凝土造,68年9月1日,四層,
RPXNMLTKQHPFFIB67DA,3,69.84,見其他登記事項,鋼筋混凝土造,106年12月25日,七層,四層
RPXNMLTKQHPFFIB67DA,3,61.46,見其他登記事項,鋼筋混凝土造,106年12月25日,七層,
RPSPMLOLPHPFFIB86DA,,186.83,見其他登記事項,鋼筋混凝土造,109年6月10日,三層,一層 二層 三層 見其他登記事項
RPSOMLOLPHPFFIB76DA,,140.70,見其他登記事項,鋼筋混凝土造,109年6月10日,三層,一層 二層 三層 見其他登記事項
RPUNMLMKQHPFFJB76DA,4,114.74,見其他登記事項,鋼筋混凝土造,105年11月14日,十五層,二層
RPUNMLMKQHPFFJB76DA,4,83.52,見其他登記事項,鋼筋混凝土造,105年11月14日,十五層,
RPSOMLNKQHPFFJB76DA,5,213.97,見其他登記事項,鋼筋混凝土造,104年7月10日,三層,一層 二層 三層 見其他登記事項
RPSOMLNKQHPFFJB76DA,5,.18,見其他登記事項,鋼筋混凝土造,104年7月11日,一層,一層
RPSNMLSKQHPFFJB17DA,7,115.16,見其他登記事項,鋼筋混凝土造,102年7月31日,十四層,十層
RPSNMLSKQHPFFJB17DA,7,90.93,見其他登記事項,鋼筋混凝土造,102年7月31日,十四層,
RPTOMLMKQHPFFJB76DA,24,75.09,見其他登記事項,鋼筋混凝土造,85年2月9日,七層,二層
RPTOMLMKQHPFFJB76DA,24,30.50,共有部份,鋼筋混凝土造,85年2月9日,七層,
RPPOMLMKQHPFFJB98DA,,87.07,見其他登記事項,鋼筋混凝土造,109年4月7日,十八層,九層
RPPOMLMKQHPFFJB98DA,,88.00,見其他登記事項,鋼筋混凝土造,109年4月7日,十八層,十二層
